Actual Player Name,Site.Account_Name,Serial Nos
,KFC Dawson Creek 098-001,A1 210SHEW5V404 --> 304SHQU80236
,KFC 1891,A1 210SHJL5V388
,KFC 1951,A1 210SHKH5V381 --> 211SHAR78448 --> 210SHUB5V382
,Pizza Hut - Bishop St,A1 210SHMF5V403 -->210KCYQ0B082 - 311SHEW41852
,KFC Square One 1918,A1 210SHRC5V366 --> 210SHJL5V388
,KFC Richmond,A1 210SHSE5V398 --> 3058GPT1M936 --> 210FHSE5V398 --> 210SHRC5V390
,KFC 2004,A1 210SHWA5V385
,KFC Saskatoon 8009,A1 210SHXJ5V386 --> 4048HFKK0291 --> 412SHAR49288
,KFC Saskatoon 8004,A1 210SHYD5V370 - Removed
,KFC 1837,A1 211SHDP78442 ---> 211SHTX78441 (Dec/11/2014) --> 210SHCN5V371
,KFC/TB 1890,A1 211SHEW7W332 ---> 305SHGQ1M943 ---> 407SHCN0Y515
,KFC 1878,A1 211SHHZ78433 ---> 412SHMF49283
,KFC 1372,A1 211SHK7W885 --> 4SHEW1G364
,Pizza Hut White Court,A1 211SHLV7W328 --> 411SHCNBB027
,Pizza Hut - Strathmore,A1 211SHMF78467 --> 411SHVMBB023
,KFC 1861,A1 211SHPT78408 --> 305SHTP1M960 --> 504SHCN1G379
,KFC Rideau Centre 1920,A1 211SHPT78456 --> 211SHPT78456
,KFC Saskatoon 8011,A1 211SHUB78470 --> 504SHGQ1G383 --> 211SHBS7W341
,Kentucky Fried Chicken Canada Company,A1 211SHWA78473
,KFC 1307,A1 211SHXJ7W290  --> 312SHQU5G172 (Sep/27/16)
,KFC 1374,A1 211SHYD78458
,KFC Saskatoon 8003,A1 211SHYD7W298 -> 211SHCN78435
,KFC 1430,A1 BYTE2015085035
,KFC Dawson Creek 098-001,A1 BYTE20170128177
,KFC Square One 1918,A1 DS43700301E35F00237
,KFC Rideau Centre 1920,A1 DS43700301E35F00241
,KFC 1951,A1 DS43700301E35F00242
,KFC/TB 1380,A1 DS43700301E49F00065
,KFC Yorkdale 1932,A1 DS43700301E49F00080
,KFC Brampton 1326,A1 DS43700301E49F00238
,Chairmans Brands- 241 Pizza,A1 US00167966
,7-11 Edmonton 37184,A1 US00217037
,KFC 1838,A1: 202NXXN02010 --> 312SHAR5G184
,KFC Beamsville 2025,A2  211SHDP7W330 -->404SHLVK0232 --> 312SHDP82394
,KFC 1441,A2 - 211SHTX78441 --> 210SHZY5V397 --> 504SHUB1G366 --> 504XHVM1D375-->211SHFK78475
,KFC Saskatoon 8012,A2 - BYTE20160923501
,7-11 Edmonton 27633,A2 - US00216729
,KFC 1802,A2 --> BYTE2015050957
,KFC 2024,A2 --> BYTE2015061981
,1982 Olympus,A2 -> DS43700301E49F00142
,7-11 Edmonton 33343,A2 -> US00216944
,KFC 1861,A2 210SHCN5A2 V395 --> 211SHEW7W332 --> 504SHSE1G286 -> 407SHPT1H776
,KFC Richmond,A2 210SHFK5V387 --> 205SHUB1M926 --> 210SHNG5V383 --> 210SHYD5V394
,KFC Dawson Creek 098-001,A2 210SHGQ5V399 --> 210SHDP5V378 --> 211SHPT78456
,KFC 1951,A2 210SHNG5V383 --> 210SHWA5V385
,KFC Saskatoon 8004,A2 210SHQU5V372 --> 504SHPT1G376--> 504SHWA1G369--> 210SHPT5V392
,KFC Saskatoon 8011,A2 210SHSE5V374--> 211SHDP7X442
,Kentucky Fried Chicken Canada Company,A2 211SHDP78466 --> 210SHKH5V381
,KFC 1307,A2 211SHGQ78439
,KFC Rideau Centre 1920,A2 211SHGQ7W855
,KFC/TB 1890,A2 211SHHZ7W297 --> 211SHCN7W299 -->402SHFK3Z363
,KFC Square One 1918,A2 211SHJL78428 --> 210SHDP5V378 --> 210SHRC5V366
,KFC Rideau Centre 1920,A2 211SHQU78460 ---> 211SHFK78451 replaced Oct/23/2014
,KFC 2004,A2 211SHSE78414 --> x
,KFC 1822,A2 211SHTX78465 --> 305SHPT960 --> 211SHCN78411
,KFC 1837,A2 211SHUB78446 --> 210SHVM5V367 -> 406SHWA4B617
,KFC 1878,A2 211SHVM78431
,Taco Bell T05-003 Markville Mall Food Court,A2 211SHVMCS855
,KFC Saskatoon 8009,A2 211SHXJ78450 --> 211SHXJ78450 --> 407SHBS8H229  --> 504SHGQ1G383
,KFC Saskatoon 8003,A2 211SHXJ78474 --> 211SHYD78434
,KFC 1374,A2 402SHFK40259--> 404SHXJK0242 --> 210SHLV5V376
,KFC 1430,A2 BYTE2015085022
,KFC Saskatoon 8004,A2 BYTE20160923731
,KFC 1951,A2 DS43700301E35F00010 --> DS43700301E35F00125
,KFC Rideau Centre 1920,A2 DS43700301E35F00026
,KFC Square One 1918,A2 DS43700301E35F00171
,KFC Yorkdale 1932,A2 DS43700301E49F00100
,KFC/TB 1380,A2 DS43700301E49F00119
,KFC Brampton 1326,A2 DS43700301E49F00175
,Chairmans Brands- 241 Pizza,A2 US00167826
,7-11 Cold Lake 32239,A2 US00216956
,7-11 Cloverdale  26517,A2 US00217074
,7-11 Calgary 37216,A2 US00217454
,7-11 Edmonton 37184,A2 US00217676
,KFC 1838,A2: 210SHBS5V389 -->211SHZY7W325
,KFC Saskatoon 8004,A3 - BYTE20160923491
,KFC Markville Mall 1933,A3 - BYTE20170127015
,7-11 Edmonton 27633,A3 - DTVKGAA00342508B6C9600
,7-11 Cloverdale  26517,A3 - US00167864 - Removed
,KFC 1802,A3 --> BYTE2015050948
,KFC 2024,A3 --> BYTE2015061952
,7-11 Edmonton 33343,A3 -> 32102987196 / DTVFUAA006321074AF9600
,Taco Bell T05-003 Markville Mall Food Court,A3 206NXSG00374
,KFC 1951,A3 210HWA5V385 --> 210SH4K5V387 --> 211SHSE78414
,KFC 1372,A3 210SHGQ5V375 --> 504SHGQ1G287
,Kentucky Fried Chicken Canada Company,A3 210SHPT5V368 --> 211SHLV7W880
,KFC Richmond,A3 210SHPT5V392 --> 211SHXJ7W338  --> 311SHNG41855 --> 211SHQU78412
,KFC Dawson Creek 098-001,A3 210SHVM5V391 --> 211SHGQ7W855
,KFC 2004,A3 211SH2Y7W301
,KFC Saskatoon 8004,A3 211SHBS78453 - Removed
,KFC Square One 1918,A3 211SHGQ78463 --> NSS1L251P0386
,KFC 1822,A3 211SHHZ78457 --> 404SHLVK0232
,KFC Saskatoon 8009,A3 211SHHZ7W321 --> 406SHGQ4X815 ---> 406SHGQ4E815 --> 402SHCN74899
,KFC 1837,A3 211SHKH78445 ---> 412SHJL49292 (Mar/17/2015)
,KFC 1307,A3 211SHNG78423 --> 211SHFK78475 --> 311SHNG41855
,KFC Rideau Centre 1920,A3 211SHUB7W886
,KFC 1891,A3 211SHXJ78474 --> 211SHEW7W332
,KFC 1861,A3 211SHYD78410 --> 210SHHZ5V393 --> 504SHDP1G290
,KFC 1878,A3 211SHZY78461 --> 411SHBSBB021
,KFC Saskatoon 8003,A3 211SHZY7W301
,KFC/TB 1890,A3 312SHLV82368 --- > 211SHLV7W304
,KFC Saskatoon 8011,A3 402SHEW75268 ---> 407SHNG9Z591-->406SHGQ24127
,KFC 1374,A3 402SHSE8H846
,7-11 Bonnyville 27001,A3 43204070496
,KFC 1430,A3 BYTE2015085039
,KFC Square One 1918,A3 DS43700301E35F00091
,KFC Rideau Centre 1920,A3 DS43700301E35F00208
,KFC 1951,A3 DS43700301E35F00234
,KFC Yorkdale 1932,A3 DS43700301E49F00061
,KFC/TB 1380,A3 DS43700301E49F00149
,KFC Brampton 1326,A3 DS43700301E49F00240
,7-11 Calgary 37216,A3 DTVKGAA00342508AF29600 / 42503557096
,7-11 Edmonton 37184,A3 DTVKGAA00342508B349600 / 42503563696 --> replaced with VL4620G DTVFUAA0063100198C9600 / 31000654096
,Chairmans Brands- 241 Pizza,A3 US00167775
,7-11 Cloverdale  26517,A3 US00217113
,KFC 1441,A4 - 211SHYD78434 --> 211SHCN78459 --> 504SHSE1G358
,KFC 2024,A4 --> BYTE2015050834 --> BTYE20160923464
,KFC 1802,A4 --> BYTE2015050946
,KFC Dawson Creek 098-001,A4 210SHHZ5V393 --> 211SHJL7W316--> 402SHXJ40234
,KFC 2004,A4 210SHUB5V382
,KFC 1878,A4 211SHAR78472 --> 211SHQU78412 --> 211SHFK78427 --> 210SHSE5A398 -->211SHUB78446
,Kentucky Fried Chicken Canada Company,A4 211SHBS78429 --> 211SHEW78444
,KFC 1861,A4 211SHCN78411 --> 504SHTX1G289
,KFC Saskatoon 8011,A4 211SHGQ7W327 -> 402SHKH32381--> 210SHBS5V389
,KFC Saskatoon 8009,A4 211SHKH78469 -> 211SHPT7W872 --> 211SHHZ78457 ---> 412SHNG49311
,KFC Saskatoon 8004,A4 211SHNG78471 > 305SHPT1M936
,KFC 1822,A4 211SHPT7W872--> 312SHLV7G024 -> 210SHHZ5V393
,KFC 1891,A4 211SHQU78436 --> 210SHFK5V387
,KFC 1837,A4 211SHRC7W294 -->211STGQBB031 (Mar/17/2015)
,KFC 1307,A4 211SHSE7W326
,KFC 1372,A4 211SHTX7W857 --> 504SHKH1G365
,KFC/TB 1890,A4 211SHUB7W334 --> 312SHLV82368 --> 211SHKH7W333 --->406SHMF1B971
,KFC 1374,A4 211SHUB7W886
,KFC Saskatoon 8003,A4 211SHVM7W295 --> A4 210SHMF5V379 --> 407SHUM3N767 ----> 402SHZY8H245
,7-11 Bonnyville 27001,A4 42503565296
,KFC 1430,A4 BYTE2015085030
,KFC Brampton 1326,A4 DS43700301E49F00167
,KFC/TB 1380,A4 DS43700301E49F00285
,Chairmans Brands- 241 Pizza,A4 US00167803
,KFC 1838,A4: 210SHLV5V400 --> 210SHHZ5V369--> 211SHFK78451 ---> 210SHHZ5V369 --> 407SHKH3N757
,Kentucky Fried Chicken Canada Company,A5 210SHVM5V367 --> 211SHTX7W857 -->406SHLV1B944
,Kentucky Fried Chicken Canada Company,A6 211SHYD78458 --> 211SHQU78460 --> 211SHQU78436
,Kentucky Fried Chicken Canada Company,A7 211SHLV78464 --> 210SHAR5V384
,,ab01
,,AB3
,,ab320
,KFC Trim Road 1422,AB32017090011
,KFC Waterdown 1434,AB32017090012
,KFC Trim Road 1422,AB32017090013
,KFC Boxgrove 1376,AB32017090014
,KFC Boxgrove 1376,AB32017090015
,KFC Trim Road 1422,AB32017090016
,KFC Waterdown 1434,AB32017090017
,KFC Boxgrove 1376,AB32017090018
,KFC Trim Road 1422,AB32017090019
,KFC Trim Road 1422,AB32017090020
,Brioche Doree - Bloor Islington,AB32017090033
,Taco Bell Queen 49-007,AB32017090034
,Taco Bell Queen 49-007,AB32017090035
,Taco Bell Queen 49-007,AB32017090036
,Coifferie International Inc.- Place De La Cite,AB32017090037
,Taco Bell Queen 49-007,AB32017090038
,KFC Uxbridge 1370,AB32017090039
,KFC Uxbridge 1370,AB32017090040
,KFC Clarkson 251-001,AB32017090168
,CBV - Eaton Centre 004,AB32017090195
,L'OREAL SKINCEUTICALS RICHMOND,AB32017090202
,KFC Thunder Bay 1575,AB32017090203
,Zennkai - Granville,AB32017090204
,KFC Thunder Bay 1575,AB32017090205
,KFC 1470,AB32017090206
,KFC 1861,AB32017090207
,KFC Thunder Bay 1575,AB32017090208
,KFC Thunder Bay 1575,AB32017090209
,KFC Thunder Bay 1575,AB32017090210
,KFC Hunt Club 1421,AB32017090341
,KFC Hunt Club 1421,AB32017090342
,Zennkai - Granville,AB32017090343
,KFC 1470,AB32017090344
,KFC 1470,AB32017090345
,KFC 1470,AB32017090346
,KFC Hunt Club 1421,AB32017090348
,KFC/TB 1890,AB32017090349
,KFC/TB 1890,AB32017090349
,KFC 1470,AB32017090350
,KFC 1470,AB32017090351
,KFC Waterdown 1434,AB32017090381
,KFC Waterdown 1434,AB32017090382
,KFC Hunt Club 1421,AB32017090383
,KFC Hunt Club 1421,AB32017090384
,KFC Boxgrove 1376,AB32017090385
,KFC Uxbridge 1370,AB32017090386
,KFC Uxbridge 1370,AB32017090387
,KFC Boxgrove 1376,AB32017090388
,KFC Uxbridge 1370,AB32017090389
,KFC Waterdown 1434,AB32017090390
,Taco Bell T05-003 Markville Mall Food Court,AB32018033433
,,ab3220
,International Beauty - Grand P,AB322017110771
,International Beauty - Lloyd M,AB322017110772
,International Beauty - Edmon S,AB322017110773
,Taco Bell T05-003 Markville Mall Food Court,AB322017110774
,Star Bedard - Quebec City,AB322017110775
,7-11 Calgary Airport 38966,AB322017110776
,Star Bedard - Laval,AB322017110777
,KFC Richmond,AB322017110778
,KFC Jane St 242-001,AB322017110780
,Taco Bell Eglinton,AB322017110941
,Taco Bell Eglinton,AB322017110942
,Taco Bell Eglinton,AB322017110943
,Taco Bell Finch 49-012,AB322017110944
,Kernels Kildonan Place,AB322017110945
,Taco Bell Eglinton,AB322017110946
,Taco Bell Finch 49-012,AB322017110947
,International Beauty - Red Dee,AB322017110948
,Teeez-Bay-Square One,AB322017110949
,Taco Bell Eglinton,AB322017110950
,TEEEZ- Bay-Scarborough Twn Cnt,AB322017110961
,Taco Bell Finch 49-012,AB322017110962
,Taco Bell Finch 49-012,AB322017110964
,Taco Bell Finch 49-012,AB322017110965
,KFC Saskatoon 8003,AB322017110966
,KFC 1891,AB322017110967
,Brioche Doree - Bloor Islington,AB322017110968
,Brioche Doree - Bloor Islington,AB322017110969
,Suki's - South Granville,AB322017110970
,7-11 Vancouver 33424,AB322017111067
,KFC Markville Mall 1933,AB322017111091
,KFC Markville Mall 1933,AB322017111092
,KFC Jane St 242-001,AB322017111093
,KFC Jane St 242-001,AB322017111094
,KFC Jane St 242-001,AB322017111095
,KFC Jane St 242-001,AB322017111097
,Kentucky Fried Chicken Canada Company,AB322017111098
,KFC Markville Mall 1933,AB322017111099
,KFC Jane St 242-001,AB322017111100
,KFC Jane St 242-001,AB322017111142
,7-11 Pitt Meadows 25400,AB322017111143
,7-11 Vancouver 33281,AB322017111145
,7-11 Vancouver 33281,AB322017111146
,Taco Bell Queen 49-007,AB322017111147
,Taco Bell Brantford 49- 017,AB322017111148
,7-11 Vancouver 33281,AB322017111149
,7-11 Vancouver 33281,AB322017111150
,7-11 Surrey 34907,AB322017121375
,7-11 Calgary 33296,AB322017121376
,7-11 Calgary 33296,AB322017121377
,7-11 Coquitlam 17759,AB322017121378
,7-11 Calgary 33296,AB322017121379
,7-11 Calgary 33296,AB322017121380
,7-11 Calgary 33296,AB322017121381
,7-11 Pitt Meadows 25400,AB322017121382
,7-11 Pitt Meadows 25400,AB322017121383
,7-11 Calgary 33296,AB322017121384
,Taco Bell Brantford 49- 017,AB322017121385
,KFC 1878,AB322017121386
,7-11 Surrey 34339,AB322017121387
,7-11 Surrey 34339,AB322017121388
,7-11 Calgary 33296,AB322017121389
,7-11 Surrey 34339,AB322017121391
,7-11 Surrey 34339,AB322017121392
,7-11 Calgary 33296,AB322017121394
,KFC Pembroke 1412,AB322017121415
,KFC Pembroke 1412,AB322017121416
,KFC 2023,AB322017121417
,KFC Pembroke 1412,AB322017121418
,CBV - Stone Road Mall,AB322017121419
,7-11 Coquitlam 17759,AB322017121420
,7-11 Coquitlam 17759,AB322017121421
,KFC Pembroke 1412,AB322017121422
,KFC Pembroke 1412,AB322017121423
,7-11 Pitt Meadows 25400,AB322017121424
,Texture Salon - Dalhousie,AB322017121465
,Taco Bell Brantford 49- 017,AB322017121466
,7-11 Claresholm 38120,AB322017121467
,CBV - Upper Canada Mall,AB322017121468
,7-11 Bonnyville 27001,AB322017121469
,7-11 Calgary 37557,AB322017121470
,Jean Bleu - St. Jerome 004,AB322017121471
,ATELIER COLOGNE 001,AB322017121472
,KFC Saskatoon 8012,AB322017121473
,KFC Saskatoon 8012,AB322017121474
,7-11 Coquitlam 17759,AB322017121515
,7-11 Port Coquitlam 15176,AB322017121516
,7-11 Surrey 34339,AB322017121517
,7-11 Surrey 34339,AB322017121518
,7-11 Surrey 34339,AB322017121519
,7-11 Port Coquitlam 15176,AB322017121520
,Maritime Beauty - Moncton,AB322017121521
,KFC 1513,AB322017121523
,Maritime Beauty - Halifax,AB322017121524
,7-11 Coquitlam 17759,AB322017121655
,7-11 Port Coquitlam 23091,AB322017121656
,7-11 Winnipeg 17060,AB322017121657
,7-11 Port Coquitlam 23091,AB322017121658
,7-11 Vancouver 20875,AB322017121659
,7-11 Port Coquitlam 23091,AB322017121660
,7-11 Port Coquitlam 15176,AB322017121661
,7-11 Port Coquitlam 15176,AB322017121662
,7-11 Port Coquitlam 23091,AB322017121663
,7-11 Port Coquitlam 23091,AB322017121664
,Taco Bell 49-011T Guelph,AB322017121665
,Taco Bell 49-011T Guelph,AB322017121666
,CosmoProf - Ottawa 7349,AB322017121667
,Taco Bell Brantford 49- 017,AB322017121670
,Taco Bell Brantford 49- 017,AB322017121671
,Taco Bell 49-011T Guelph,AB322017121672
,Taco Bell 49-011T Guelph,AB322017121673
,Taco Bell 49-011T Guelph,AB322017121674
,7-11 Maple Ridge 33013,AB322017121735
,7-11 Port Moody 25440,AB322017121736
,7-11 Port Moody 25440,AB322017121737
,7-11 Maple Ridge 33013,AB322017121738
,7-11 Maple Ridge 33013,AB322017121739
,7-11 Port Moody 25440,AB322017121740
,7-11 Port Moody 25440,AB322017121741
,7-11 Port Moody 25440,AB322017121741
,7-11 Port Moody 25440,AB322017121742
,7-11 Port Moody 25440,AB322017121743
,7-11 Maple Ridge 33013,AB322017121744
,7-11 Pitt Meadows 25400,AB322017121755
,7-11 Port Coquitlam 15176,AB322017121756
,7-11 Port Coquitlam 15176,AB322017121758
,7-11 Coquitlam 17759,AB322017121760
,7-11 Coquitlam 17759,AB322017121761
,7-11 Pitt Meadows 25400,AB322017121762
,7-11 Port Coquitlam 15176,AB322017121763
,7-11 Coquitlam 17759,AB322017121764
,7-11 Port Moody 25440,AB322017121786
,7-11 Surrey 34907,AB322017121788
,Kernels Chinook,AB322017121789
,7-11 Surrey 34907,AB322017121790
,7-11 Surrey 34907,AB322017121791
,7-11 Surrey 34907,AB322017121792
,7-11 Surrey 34907,AB322017121793
,7-11 Surrey 34907,AB322017121794
,7-11 Toronto 25519,AB322017122043
,7-11 Richmond 27052,AB322018032819
,7-11 Richmond 27052,AB322018032820
,7-11 Edmonton 32370,AB322018032841
,KFC Windsor 1459,AB322018032936
,KFC Windsor 1919,AB322018032938
,7-11 Squamish 32845,AB322018032966
,Taco Bell Windsor 6901,AB322018032968
,Taco Bell Windsor 6901,AB322018032969
,KFC Windsor 1454,AB322018032992
,7-11 Mackenzie 29936,AB322018032999
,7-11 Mackenzie 29936,AB322018033001
,7-11 Victoria 33012,AB322018033010
,7-11 Calgary 33296,AB322018033119
,7-11 Mackenzie 29936,AB322018033121
,7-11 Squamish 32845,AB322018033122
,7-11 Mackenzie 29936,AB322018033123
,7-11 Squamish 32845,AB322018033124
,Taco Bell Windsor 6901,AB322018033175
,KFC Lindsay 1510,AB322018033224
,Kernels Metropolis C0009 (formerly C0087),AB322018033329
,7-11 Toronto 22116,AB322018033332
,7-11 Toronto 22116,AB322018033335
,7-11 Vancouver 32999,AB322018033430
,KFC 1307,AB322018033477
,KFC Cambridge 2014,AB322018033482
,Taco Bell 48-004 Saskatoon,AB322018033568
,Taco Bell 48-004 Saskatoon,AB322018033569
,KFC 1307,AB322018033572
,KFC 1307,AB322018033574
,KFC Windsor 1446,AB322018033597
,KFC Oakville 211-002,AB322018033601
,Taco Bell Hawkesbury 6322,AB322018033603
,7-11 Calgary 15901,ab322018033647
,"3P: Protagon (Matrix) - Toronto, ON",AB322018033654
,Taco Bell 48-003 Saskatoon,AB322018033671
,Taco Bell 48-003 Saskatoon,AB322018033673
,Taco Bell 48-003 Saskatoon,AB322018033674
,KFC 1533,AB322018033736
,7-11 Edmonton 38543,AB322018033738
,7-11 Winnipeg 17060,AB322018033739
,KFC Windsor 1446,AB322018033739
,7-11 Pitt Meadows 25400,AB322018033743
,7-11 Winnipeg 14841,AB322018033745
,Kernels Park Place,AB322018033756
,7-11 Edmonton 38543,AB322018033757
,7-11 Winnipeg 14841,AB322018033758
,7-11 Winnipeg 14841,AB322018033759
,7-11 Edmonton 32370,AB322018033763
,"3P: Protagon (Matrix) - Toronto, ON",AB322018033829
,Star Bedard - Kirkland 108,AB322018033833
,KFC Cambridge 2014,AB322018033940
,KFC Windsor 1446,AB322018033945
,KFC Scarborough 1305,AB322018033978
,Kernels Midtown Plaza,AB322018033981
,,AB322018033981
,CBV - Eaton Centre 004,AB322018033983
,KFC 1861,AB322018034106
,Taco Bell Hawkesbury 6322,AB322018034110
,Sbarro-Halton Hills,AB322018034113
,7-11 Cloverdale  26517,AB322018034115
,7-11 Vancouver 33462,AB322019010022
,7-11 Vancouver 33462,AB322019010030
,7-11 Vancouver 33462,AB322019010042
,7-11 Vancouver 33462,AB322019010043
,7-11 Vancouver 33462,AB322019010045
,7-11 Calgary 32344,AB322019010588
,7-11 Richmond 27052,AB322019010604
,7-11 Etobicoke 24508,AB322019010864
,,AB32201901110
,7-11 Crossfield 38821,AB322019011234
,7-11 Toronto 33259,AB32201901139
,7-11 Etobicoke 24508,AB322019011424
,7-11 Etobicoke 24508,AB322019011425
,7-11 Etobicoke 24508,AB322019011426
,7-11 Waterloo 33001,AB322019011437
,KFC 1364,AB32MS191100006
,Les Coiffeurs Continental Carrefour de l’Estrie inc,AB3455180900251
,KFC Mississauga 128-006,AB3455180900347
,7-11 Etobicoke 26077,AB3455180900435
,7-11 Port Coquitlam 23091,B-MAB3P419080156
