Id,Account_Name,Store_Status,Parent_Account.Account_Name,Shipping_Street,Shipping_City,Shipping_State,Shipping_Country,Location_Email,DMB_Active,Layout,Menu_Board_Configuration,Number_of_Menu_Panels,Menus_Orientation,Store_Time_Zone
2648626000000760197,"CBV - Square One",Open,"Caryl Baker Visage","100 City Centre Dr",Mississauga,ON,Canada,,false,2648626000023364266,,,,
2648626000000760198,"CBV - Lambton Mall",Open,"Caryl Baker Visage","1380 London Rd",Sarnia,ON,Canada,,false,2648626000000091029,,,,
2648626000000760199,"CBV - Centerpoint Mall",Open,"Caryl Baker Visage","6256 Yonge St",Willowdale,ON,Canada,,false,2648626000023364266,,,,
2648626000000760200,"CBV - Promenade Mall",Open,"Caryl Baker Visage","1 Promenade Circle",Thornhill,ON,Canada,,false,2648626000023364266,,,,
2648626000000760201,"CBV - Bayshore Shopping Centre",Open,"Caryl Baker Visage","Bayshore Shopping Centre",Ottawa,ON,Canada,,false,2648626000000091029,,,,
2648626000000760202,"CBV - Pickering Town Centre",Open,"Caryl Baker Visage","1355 Kingston Rd",Pickering,ON,Canada,,false,2648626000000091029,,,,
2648626000000760203,"CBV - Upper Canada Mall",Open,"Caryl Baker Visage","17600 Yonge St",Newmarket,ON,Canada,,false,2648626000023364266,,,,
2648626000000760204,"CBV - Bramalea City Centre",Open,"Caryl Baker Visage","25 Peel Centre Dr",Brampton,ON,Canada,,false,2648626000023364266,,,,
2648626000000760205,"CBV - Oshawa Centre",Open,"Caryl Baker Visage","419 King St W",Oshawa,ON,Canada,,false,2648626000023364266,,,,
2648626000000760206,"CBV - Mapleview",Open,"Caryl Baker Visage","900 Maple Ave",Burlington,ON,Canada,,false,2648626000023364266,,,,
2648626000000760207,"CBV - Masonville Place",Open,"Caryl Baker Visage","1680 Richmond St N",London,ON,Canada,,false,2648626000023364266,,,,
2648626000000760208,"CBV - Intercity Shopping Centre",Open,"Caryl Baker Visage","1000 Fort William Rd","Thunder Bay",ON,Canada,,false,2648626000023364266,,,,
2648626000000760209,"CBV - Georgian Mall",Open,"Caryl Baker Visage","509 Bayfield St",Barrie,ON,Canada,,false,2648626000023364266,,,,
2648626000000760210,"CBV - White Oaks Mall",Open,"Caryl Baker Visage","1105 Wellington Rd",London,ON,Canada,,false,2648626000023364266,,,,
2648626000000760211,"CBV - Place D'Orleans",Open,"Caryl Baker Visage","110 Place D'Orleans Dr",Ottawa,ON,Canada,,false,2648626000023364266,,,,
2648626000000760212,"CBV- Yorkville",Open,"Caryl Baker Visage","60 Bloor St W",Toronto,ON,Canada,,false,2648626000000091029,,,,
2648626000000760213,"CBV - Niagara Outlet",Open,"Caryl Baker Visage","300 Taylor Rd","Niagara on the Lake",ON,Canada,,false,2648626000023364266,,,,
2648626000000760214,"CBV - Vaughan Mills",Open,"Caryl Baker Visage","1 Bass Pro Mills Dr",Vaughan,ON,Canada,,false,2648626000023364266,,,,
2648626000000760215,"CBV - Sunridge",Open,"Caryl Baker Visage","2525 36 St NE",Calgary,AB,Canada,,false,2648626000023364266,,,,
2648626000000760216,"CBV - Markville",Open,"Caryl Baker Visage","5000 Hwy 7 E",Markham,ON,Canada,,false,2648626000023364266,,,,
2648626000000760217,"Cinema St-Eustache",,,"305 Avenue Mathers",Saint-Eustache,Quebec,Canada,,false,2648626000000091029,,,,
2648626000000760218,"Chairmans Brands- 241 Pizza",,,,,,,,false,2648626000000091029,,,,
2648626000000760219,"Chairmans Brands- 241 Pizza",,"Chairmans Brands- 241 Pizza","142 Parliament St",Toronto,ON,Canada,,false,2648626000000091029,,,,
2648626000000760220,"Fusion Homes Corporate Office",Open,,,,,,,false,2648626000000091029,,,,
2648626000000760221,"Fusion - Sales Centre",Open,"Fusion Homes Corporate Office","5 Arthur St S",Guelph,ON,Canada,,false,2648626000023364266,,,,
2648626000000760223,"Great Gulf Canada Limited Partnership",,,,,,,,false,2648626000000091029,,,,
2648626000000760224,GGL-Monde,,"Great Gulf Canada Limited Partnership","291 Lakeshore Blvd E",Toronto,ON,Canada,,false,2648626000000091029,,,,
2648626000000760225,"GGL - Condo Sales Centre",,"Great Gulf Canada Limited Partnership","26 Lombard Street",Toronto,ON,Canada,,false,2648626000000091029,,,,
2648626000000760226,"GGL - Model Suite",,"Great Gulf Canada Limited Partnership","26 Lombard Street",Toronto,ON,Canada,,false,2648626000000091029,,,,
2648626000000760227,"IKEA Canada Ltd. Partnership",,,"1065 Plains Rd E",Burlington,ON,Canada,,false,2648626000000091029,,,,
2648626000000760228,IKEA-Burlington,Open,"IKEA Canada Ltd. Partnership","1065 Plains Rd E",Burlington,ON,Canada,,false,2648626000023364266,,,,
2648626000000760229,IKEA-Kitchener,,"IKEA Canada Ltd. Partnership","130 Gateway Park Dr",Kitchener,ON,Canada,,false,2648626000000091029,,,,
2648626000000760230,"IKEA-London PuP",,"IKEA Canada Ltd. Partnership","3198 Wonderland Rd South",London,ON,Canada,,false,2648626000000091029,,,,
2648626000000760231,"IKEA-Quebec City PuP",Open,"IKEA Canada Ltd. Partnership","3111 Avenue Watt","Quebec City",Quebec,Canada,,false,2648626000023364266,,,,
2648626000000760232,IKEA-St.Catherines,,"IKEA Canada Ltd. Partnership","285 Geneva Street","St. Catherines",ON,Canada,,false,2648626000000091029,,,,
2648626000000760233,IKEA-Whitby,Open,"IKEA Canada Ltd. Partnership","1650 Victoria St",Whitby,ON,Canada,,false,2648626000023364266,,,,
2648626000000760234,IKEA-Windsor,,"IKEA Canada Ltd. Partnership","4115 Walker Rd",Windsor,ON,Canada,,false,2648626000000091029,,,,
2648626000000760235,"Jean Bleu Inc. (Le)",,,,,,,,false,2648626000000091029,,,,
2648626000000760236,"Jean Bleu- St. Jean",,"Jean Bleu Inc. (Le)","600 Rue Pierre-Caissie","Saint-Jean- sur- Richelieu",QC,Canada,,false,2648626000000091029,,,,
2648626000000760237,"Jean Bleu - Place Versailles",Open,"Jean Bleu Inc. (Le)","7275 rue Sherbrooke E",Montreal,QC,Canada,,false,2648626000023364266,,,,
2648626000000760238,"Loblaws Inc.",,,,,,,,false,2648626000000091029,,,,
2648626000000760239,"Loblaws Inc- Joe Fresh 1217",Open,"Loblaws Inc.","1 Bass Pro Mills Drive- Unit 129",Vaughan,ON,Canada,,false,2648626000023364266,,,,
2648626000000760240,"Loblaws Inc- Joe Fresh 1221",Open,"Loblaws Inc.","589 Queen Street W",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760241,"Loblaws Inc-Joe Fresh 1222",,"Loblaws Inc.","60 Carlton Street- Maple Leaf Gardens",Toronto,ON,Canada,,false,2648626000000091029,,,,
2648626000000760242,"Kernels Popcorn Limited",Open,,"341 Roselawn Avenue",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760243,"Kernels BR Avenue",Open,"Kernels Popcorn Limited","1917 Avenue Rd","North York",ON,Canada,,false,2648626000023364266,,,,
2648626000000760244,"Kernels BR Danforth",Open,"Kernels Popcorn Limited","552 Danforth Ave",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760245,"Kernels BR Yonge",Open,"Kernels Popcorn Limited","3246 Yonge St",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760246,"Kernels BR Bloor W",Open,"Kernels Popcorn Limited","726 Bloor St W",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760247,"Kernels BR Heartland",,"Kernels Popcorn Limited","6045 Mavis Rd",Mississauga,ON,Canada,,false,2648626000000091029,,,,
2648626000000760248,"Kernels BR Hamilton",Open,"Kernels Popcorn Limited","1685 Main St W",Hamilton,ON,Canada,,false,2648626000023364266,,,,
2648626000000760249,"Kernels BR Yonge & Steeles/ Centerpoint",Open,"Kernels Popcorn Limited","6212 Yonge St","North York",ON,Canada,,false,2648626000023364266,,,,
2648626000000760250,"Kernels BR Windsor",Open,"Kernels Popcorn Limited","3090 Dougall Avenue",Windsor,ON,Canada,,false,2648626000023364266,,,,
2648626000000760251,"Kernels BR Major Mac & Dufferin",Open,"Kernels Popcorn Limited","9960 Dufferin St",Maple,ON,Canada,,false,2648626000023364266,,,,
2648626000000760252,"Kernels BR Tsawwassen Mills",Open,"Kernels Popcorn Limited","5000 Canoe Pass Way",Tsawwassen,BC,Canada,,false,2648626000023364266,,,,
2648626000000760253,"Kernels Eaton Centre North",Open,"Kernels Popcorn Limited","1 Dundas St W",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760254,"Kernels Richmond Centre",Open,"Kernels Popcorn Limited","Richmond Centre - 6551 No 3 Road Unit 1514",Richmond,BC,Canada,,false,2648626000023364266,,,,
2648626000000760255,"Kernels Bramalea City Centre",Open,"Kernels Popcorn Limited","25 Peel Centre Dr",Brampton,ON,Canada,,false,2648626000023364266,,,,
2648626000000760256,"Kernels Georgian Mall",Open,"Kernels Popcorn Limited","509 Bayfield St",Barrie,ON,Canada,,false,2648626000023364266,,,,
2648626000000760257,"Kernels Masonville Place",Open,"Kernels Popcorn Limited","1680 Richmond St N",London,ON,Canada,,false,2648626000023364266,,,,
2648626000000760258,"Kernels Woodgrove Centre",Open,"Kernels Popcorn Limited","6631 Island Hwy N",Nanaimo,BC,Canada,,false,2648626000023364266,,,,
2648626000000760259,"Kernels Oshawa Centre",Open,"Kernels Popcorn Limited","419 King St W",Oshawa,ON,Canada,,false,2648626000023364266,,,,
2648626000000760260,"Kernels Fairview Park",Open,"Kernels Popcorn Limited","2960 Kingsway Dr",Kitchener,ON,Canada,,false,2648626000023364266,,,,
2648626000000760261,"Kernels Dixie Outlet Mall",,"Kernels Popcorn Limited","1250 South Service Rd",Mississauga,ON,Canada,,false,2648626000000091029,,,,
2648626000000760262,"Kernels Edmonton City Centre",,"Kernels Popcorn Limited","10025 102A Ave NW",Edmonton,AB,Canada,,false,2648626000000091029,,,,
2648626000000760263,"Kernels Mapleview Centre",Open,"Kernels Popcorn Limited","900 Maple Ave",Burlington,ON,Canada,,false,2648626000023364266,,,,
2648626000000760264,"Kernels Markville Center",Open,"Kernels Popcorn Limited","5000 Hwy 7 East, Unit 1282A",Markham,ON,Canada,,false,2648626000023364266,,,,
2648626000000760265,"Kernels Cataraqui Centre",Open,"Kernels Popcorn Limited","945 Gardiners Rd",Kingston,ON,Canada,,false,2648626000023364266,,,,
2648626000000760266,"Kernels Erin Mills",Open,"Kernels Popcorn Limited","5100 Erin Mills Pkwy",Mississauga,ON,Canada,,false,2648626000023364266,,,,
2648626000000760267,"Kernels New Sudbury Centre",Open,"Kernels Popcorn Limited","1349 Lasalle Blvd",Sudbury,ON,Canada,,false,2648626000023364266,,,,
2648626000000760268,"Kernels Scarborough Town",Open,"Kernels Popcorn Limited","300 Borough Dr CRU 98A",Scarborough,ON,Canada,,false,2648626000023364266,,,,
2648626000000760269,"Kernels BR Outlet Collection Winnipeg",Open,"Kernels Popcorn Limited","555 Sterling Lyon Pkwy",Winnipeg,MB,Canada,,false,2648626000023364266,,,,
2648626000000760270,"Kernels Pickering Town C0016 (formerly C0060)",Open,"Kernels Popcorn Limited","1355 Kingston Rd",Pickering,ON,Canada,,false,2648626000023364266,,,,
2648626000000760271,"Kernels Oakridge Centre C0012 (formerly C0066)",,"Kernels Popcorn Limited","650 W 41st Ave 267",Vancouver,BC,Canada,,false,2648626000000091029,,,,
2648626000000760272,"Kernels Metropolis C0009 (formerly C0087)",Open,"Kernels Popcorn Limited","4820 Kingsway 302",Burnaby,BC,Canada,,false,2648626000023364266,,,,
2648626000000760273,"Kernels Polo Park",Open,"Kernels Popcorn Limited","1485 Portage Ave",Winnipeg,MB,Canada,,false,2648626000023364266,,,,
2648626000000760274,"Kernels Montreal Eaton Centre",,"Kernels Popcorn Limited","705 St Catherine St W",Montreal,QC,Canada,,false,2648626000000091029,,,,
2648626000000760275,"Kernels Quinte",Open,"Kernels Popcorn Limited","390 North Front St",Belleville,ON,Canada,,false,2648626000023364266,,,,
2648626000000760276,"Kernels Hillcrest",Open,"Kernels Popcorn Limited","9350 Yonge St",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760277,"Kernels Square One - C0056",Open,"Kernels Popcorn Limited","100 City Centre Dr",Mississauga,ON,Canada,,false,2648626000023364266,,,,
2648626000000760278,"Kernels Carrefour Laval",Open,"Kernels Popcorn Limited","3035 Boul. le Carrefour",Laval,QC,Canada,,false,2648626000023364266,,,,
2648626000000760279,"Kernels Fairview Pointe Claire",Open,"Kernels Popcorn Limited","6815 Trans Canada Hwy","Pointe Claire",QC,Canada,,false,2648626000023364266,,,,
2648626000000760280,"Kernels West Edmonton Mall F0011",Open,"Kernels Popcorn Limited","8882 170th St",Edmonton,AB,Canada,,false,2648626000023364266,,,,
2648626000000760281,"Kernels South Centre",Open,"Kernels Popcorn Limited","100 Anderson Rd SE",Calgary,AB,Canada,,false,2648626000023364266,,,,
2648626000000760282,"Kernels Lambton Mall",Open,"Kernels Popcorn Limited","1380 London Rd",Sarnia,ON,Canada,,false,2648626000023364266,,,,
2648626000000760283,"Kernels Promenades Gatineau F0043 (formerly F0015)",,"Kernels Popcorn Limited","1100 Boul. Maloney West",Gatineau,QC,Canada,,false,2648626000000091029,,,,
2648626000000760284,"Kernels Upper Canada Mall F0017",Open,"Kernels Popcorn Limited","17600 Yonge St",Newmarket,ON,Canada,,false,2648626000023364266,,,,
2648626000000760285,"Kernels Park Place",Open,"Kernels Popcorn Limited","501 First Ave S",Lethbridge,AB,Canada,,false,2648626000023364266,,,,
2648626000000760286,"Kernels Fairview Mall",Open,"Kernels Popcorn Limited","1800 Sheppard Ave E",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760287,"Kernels Stone Road Mall",Open,"Kernels Popcorn Limited","435 Stone Rd",Guelph,ON,Canada,,false,2648626000023364266,,,,
2648626000000760288,"Kernels White Oaks",Open,"Kernels Popcorn Limited","1105 Wellington Rd",London,ON,Canada,,false,2648626000023364266,,,,
2648626000000760289,"Kernels Place d'Orleans",Open,"Kernels Popcorn Limited","110 Place d'Orleans Dr",Ottawa,ON,Canada,,false,2648626000023364266,,,,
2648626000000760290,"Kernels Midtown Plaza",Open,"Kernels Popcorn Limited","201 First Ave S",Saskatoon,SK,Canada,,false,2648626000023364266,,,,
2648626000000760291,"Kernels Guildford Town Ctr",Open,"Kernels Popcorn Limited","10355 152 St",Surrey,BC,Canada,,false,2648626000023364266,,,,
2648626000000760292,"Kernels Eaton Centre South",Open,"Kernels Popcorn Limited","220 Yonge St",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760293,"Kernels Mayfair",Open,"Kernels Popcorn Limited","3147 Douglas St 414",Victoria,BC,Canada,,false,2648626000023364266,,,,
2648626000000760294,"Kernels Kildonan Place",Open,"Kernels Popcorn Limited","1555 Regent Ave W",Winnipeg,MB,Canada,,false,2648626000023364266,,,,
2648626000000760295,"Kernels Sherway Gardens",Open,"Kernels Popcorn Limited","25 The West Mall",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760296,"Kernels Promenade Mall F0015 (formerly F0043)",Open,"Kernels Popcorn Limited","1 Promenade Circle",Thornhill,ON,Canada,,false,2648626000023364266,,,,
2648626000000760297,"Kernels Calgary Eaton Centre",Open,"Kernels Popcorn Limited","731 3rd St SW 255",Calgary,AB,Canada,,false,2648626000023364266,,,,
2648626000000760298,"Kernels Bower Place",Open,"Kernels Popcorn Limited","4900 Molly Bannister Dr","Red Deer",AB,Canada,,false,2648626000023364266,,,,
2648626000000760299,"Kernels Market Mall",Open,"Kernels Popcorn Limited","365 Shaganappi Trail NW",Calgary,AB,Canada,,false,2648626000023364266,,,,
2648626000000760300,"Kernels Hillside Centre",Open,"Kernels Popcorn Limited","1644 Hillside Ave",Victoria,BC,Canada,,false,2648626000023364266,,,,
2648626000000760301,"Kernels Yorkdale Mall",Open,"Kernels Popcorn Limited","3401 Dufferin St",Toronto,ON,Canada,,false,2648626000023364266,,,,
2648626000000760302,"Kernels Orchard Park",Open,"Kernels Popcorn Limited","2271 Harvey Ave 835",Kelowna,BC,Canada,,false,2648626000023364266,,,,
