Id,Site.Account_Name,Configuration,Player_Name,Item_Name,Name,Status,Orientation,Layout,Warranty_End_Date_calc
2648626000008818001,"COBS-West Granville 9142","Promotional Display",COB-F9142A0,"Shuttle DL10J",DL10J00201I17F00353,Installed,Landscape,2648626000000315682,2022-07-10
2648626000008818007,"COBS-Ridley Square 9331","Promotional Display",A0,"Shuttle DL10J",DL10J00201I17F00378,Installed,,2648626000000315682,2022-05-30
2648626000008841001,"7-11 Victoria 33632","Menu Boards",,QB3,AB322019010862,Shipped,,2648626000000315682,
2648626000008841007,"7-11 Victoria 33632","Menu Boards",,QB3,AB322019010861,Shipped,,2648626000000315682,
2648626000008841013,"7-11 Victoria 33632","Menu Boards",,QB3,AB322019010865,Shipped,,2648626000000315682,
2648626000008841019,"7-11 Victoria 33632","Menu Boards",,QB3,AB322019010863,Shipped,,2648626000000315682,
2648626000008841025,"7-11 Victoria 33632","Slupee TV",711-33632SA0,QB3,AB322019011329,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008841031,"7-11 Victoria 33632","Slupee TV",711-33632SA1,QB3,AB322019011330,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008841037,"7-11 Etobicoke 24508","Slupee TV",711-24508SA2,QB3,AB322019010864,Installed,Landscape,2648626000000315682,2020-06-04
2648626000008841067,"7-11 Victoria 34579","Next Gen Coffee Bar",711-34579CA0,QB3,MAB322018074904,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008841073,"7-11 Victoria 34579","Next Gen Coffee Bar",711-34579CA1,QB3,MAB3P219050249,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008841079,"7-11 Victoria 34579","Next Gen Coffee Bar",711-34579CB0,QB3,MAB3P219050250,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008841085,"7-11 Victoria 34579","Next Gen Coffee Bar",711-34579CB1,QB3,AB322019011326,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008841091,"7-11 Victoria 34579","Slupee TV",711-34579SA0,QB3,AB322019011328,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008841109,"7-11 Victoria 34579",UR-Tunes,711-34579AA0,QB3,MAB3P219050243,Installed,Landscape,2648626000000315682,2020-11-21
2648626000008889008,"KFC Swift Current 070-001","Order Confirmation Boards",OCB,"Sharp PN-Y326",7S02904X,Installed,,2648626000000315682,2022-04-09
2648626000008894001,"7-11 Waterloo 33001","Menu Boards",711-33001MA0,QB3,AB322019011303,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894007,"7-11 Waterloo 33001","Menu Boards",711-33001MA1,QB3,AB322019011308,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894013,"7-11 Waterloo 33001","Menu Boards",711-33001MA2,QB3,AB322019011310,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894019,"7-11 Waterloo 33001","Menu Boards",711-33001MA3,QB3,AB322019011306,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894025,"7-11 Waterloo 33001","Next Gen Coffee Bar",711-33001CA0,QB3,AB322019011436,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894031,"7-11 Waterloo 33001","Next Gen Coffee Bar",711-33001CA1,QB3,AB322019011439,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894037,"7-11 Waterloo 33001","Next Gen Coffee Bar",711-33001CB0,QB3,AB322019010669,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894043,"7-11 Waterloo 33001","Next Gen Coffee Bar",711-33001CB1,QB3,AB322019011433,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894049,"7-11 Waterloo 33001","Slupee TV",711-33001SA0,QB3,AB322019011440,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894055,"7-11 Waterloo 33001","Slupee TV",711-33001SA1,QB3,AB322019011432,Installed,Landscape,2648626000000315682,2020-05-17
2648626000008894061,"7-11 Waterloo 33001","Slupee TV",711-33001SA2,QB3,AB322019011437,Replacement,Landscape,2648626000000315682,2020-05-17
2648626000008894067,"7-11 Waterloo 33001",UR-Tunes,711-33001AA0,QB3,AB322019011305,Installed,Audio,2648626000000315682,2020-05-17
2648626000008900027,"IKEA-Boucherville 414","Video Wall",TVA1,"LG 55LV75A",505MXPHN0064,Installed,,2648626000000315682,2018-11-22
2648626000008900033,"IKEA-Boucherville 414","Video Wall",TVA2,"LG 55LV75A",505MXXQN0058,Installed,,2648626000000315682,2018-11-22
2648626000008900039,"IKEA-Boucherville 414","Video Wall",B1,"LG 55LV75A",505MXTCN0073,Installed,,2648626000000315682,2018-11-22
2648626000008900045,"IKEA-Boucherville 414","Video Wall",C0,"LG 55LV75A",505MXHBN0065,Installed,,2648626000000315682,2018-11-22
2648626000008900051,"IKEA-Boucherville 414","Video Wall",C2,"LG 55LV75A",505MXAYN0056,Installed,,2648626000000315682,2018-11-22
2648626000008900057,"IKEA-Boucherville 414","Video Wall",,"LG 55LV75A-7B",505MXSKN0070,Installed,,2648626000000315682,2018-11-22
2648626000008900063,"IKEA-Boucherville 414","Video Wall",BO,"LG 55LV75A-7B",10MXNUS9047,Installed,,2648626000000315682,2018-12-01
2648626000008900069,"IKEA-Boucherville 414","Video Wall",B2,"LG 55LV75A-7B",504MXKDPZ045,Installed,,2648626000000315682,2018-11-22
2648626000008900075,"IKEA-Boucherville 414","Video Wall",C1,"LG 55LV75A-7B",505MXFVN0059,Installed,,2648626000000315682,2018-11-22
2648626000008900081,"IKEA-Boucherville 414","Video Wall",,"UR-CHANNEL MEDIA PLAYER","I/C/DG4220 01962",Installed,,2648626000000315682,2016-12-01
